model,name,n,r2,coef_supp,se_supp,pvalue_supp,ci_low_supp,ci_high_supp,coef_age,coef_nhb,coef_mex,coef_pov,coef_bmi
model1,Unadjusted,6125,0.0012057497481084978,0.0811741269162371,0.029856914422369724,0.006570950349371295,0.02264408006437136,0.13970417376810285,,,,,
model2,Demographics-adjusted,5642,0.016141873159979614,0.04851711622520772,0.031191881750924612,0.11989736215795996,-0.012630985150643002,0.10966521760105843,0.006450816521099563,-0.14812844619330115,-0.17543351196858972,0.02072846985022105,
model3,Fully adjusted,5590,0.030350816145000903,0.06176428326362137,0.03121548199550541,0.04790534280647234,0.0005697914468868401,0.12295877508035591,0.004196900679210175,-0.18753110602048506,-0.19130941500871218,0.029082856554059823,0.014335987453659613
